gioitinh;sothich;nganh;nguyennhan;dtbT;dtbVL;dtbHH;dtbTA;dtbNV;dtbLS;dtbDL;nguonthongtin;donoitieng;tgtimhieu
NAM;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ, ÂM NHẠC;KỸ THUẬT XÂY DỰNG;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;4
NỮ;DU LỊCH, THỂ THAO, THỂ THAO ĐIỆN TỬ;TIN HỌC ỨNG DỤNG;NĂNG LỰC BẢN THÂN;TỪ 9 - 10;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;3;3
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, PHIM ẢNH, ÂM NHẠC;ĐÔNG PHƯƠNG HỌC;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;4;3
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, ÂM NHẠC, THỜI TRANG;NGÔN NGỮ ANH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;3;3
NỮ;ĐỌC SÁNH, DU LỊCH, THỂ THAO ĐIỆN TỬ, ÂM NHẠC, THỜI TRANG;HỆ THỐNG THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;3;3
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;CÔNG NGHỆ THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;INTERNET, MẠNG XÃ HỘI;3;4
NAM;THỂ THAO ĐIỆN TỬ, PHIM ẢNH;MẠNG MÁY TÍNH VÀ TRUYỀN THÔNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;THẦY CÔ - BẠN BÈ, INTERNET;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;KỸ THUẬT XÂY DỰNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;4;4
NAM;ĐỌC SÁNH, DU LỊCH;ĐIỀU KHIỂN TỰ ĐỘNG HÓA;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET;4;4
NAM;PHIM ẢNH, THỜI TRANG;NGÔN NGỮ ANH;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;PHIM ẢNH, ÂM NHẠC, HỘI HỌA - MỸ THUẬT;CÔNG NGHỆ THỰC PHẨM;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;5
NAM;ĐỌC SÁNH, DU LỊCH;Y HỌC CỔ TRUYỀN;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;CÔNG NGHỆ THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;THỂ THAO ĐIỆN TỬ, PHIM ẢNH;HƯỚNG DẪN VIÊN DU LỊCH;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 5 - DƯỚI 6.5;TỪ 5 - DƯỚI 6.5;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;4
NAM;ĐỌC SÁNH, DU LỊCH;SƯ PHẠM VĂN HỌC;NĂNG LỰC BẢN THÂN;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;THẦY CÔ - BẠN BÈ;4;4
NAM;PHIM ẢNH, ÂM NHẠC;TÀI CHÍNH - NGÂN HÀNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ;4;4
NAM;DU LỊCH, THỂ THAO;CÔNG NGHỆ THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;PHIM ẢNH, ÂM NHẠC;HỆ THỐNG THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;ÂM NHẠC, THỜI TRANG;KỸ THUẬT ĐIỆN;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;ĐỌC SÁNH, DU LỊCH;KỸ THUẬT XÂY DỰNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;PHIM ẢNH, ÂM NHẠC;KINH TẾ NÔNG NGHIỆP;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;KẾ TOÁN;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;ĐỌC SÁNH, DU LỊCH;KHOA HỌC MÁY TÍNH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;DU LỊCH, THỂ THAO;SƯ PHẠM ĐỊA LÝ;TƯ VẤN TỪ THẦY CÔ, BẠN BÈ;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;PHIM ẢNH, ÂM NHẠC;BÁC SĨ RĂNG HÀM MẶT;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;DU LỊCH, THỂ THAO;CÔNG NGHỆ THÔNG TIN;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;ÂM NHẠC, THỜI TRANG;ĐIỀU DƯỠNG;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;THẦY CÔ - BẠN BÈ;4;4
NAM;ÂM NHẠC, THỜI TRANG;KHOA HỌC ĐẤT;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;ĐỌC SÁNH, DU LỊCH;KỸ THUẬT CƠ KHÍ;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;KINH TẾ QUỐC TẾ;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;DU LỊCH, THỂ THAO;QUẢN TRỊ KINH DOANH;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;CÔNG NGHỆ THÔNG TIN;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;QUẢN TRỊ KINH DOANH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;THẦY CÔ - BẠN BÈ;4;4
NỮ;DU LỊCH, THỜI TRANG;QUẢN LÝ CÔNG NGHIỆP;TƯ VẤN TỪ THẦY CÔ, BẠN BÈ;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;4
NAM;PHIM ẢNH, ÂM NHẠC;CÔNG NGHỆ KỸ THUẬT MÔI TRƯỜNG;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;4
NAM;PHIM ẢNH, ÂM NHẠC;KỸ THUẬT PHẦN MỀM;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;ĐỌC SÁNH, DU LỊCH;QUẢN LÝ CÔNG NGHIỆP;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
NAM;DU LỊCH, THỂ THAO;TIN HỌC ỨNG DỤNG;SỞ THÍCH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;4;3
NAM;THỂ THAO, THỂ THAO ĐIỆN TỬ;CÔNG NGHỆ THÔNG TIN;NĂNG LỰC BẢN THÂN;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
NAM;PHIM ẢNH, ÂM NHẠC;CƠ ĐIỆN TỬ;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;THỂ THAO, ÂM NHẠC;DƯỢC HỌC;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH;4;4
NAM;ÂM NHẠC, THỜI TRANG;QUẢN TRỊ DỊCH VỤ DU LỊCH VÀ LỮ HÀNH;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;PHIM ẢNH, ÂM NHẠC;QUẢN LÝ ĐẤT ĐAI;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ;4;4
NAM;THỂ THAO;NUÔI TRỒNG THỦY SẢN;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;THỂ THAO, PHIM ẢNH;BÁC SĨ THÚ Y;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;THỂ THAO ĐIỆN TỬ, PHIM ẢNH;KHOA HỌC MÁY TÍNH;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, MẠNG XÃ HỘI;3;4
NAM;DU LỊCH, ÂM NHẠC;ĐIỆN - ĐIỆN TỬ;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;GIA ĐÌNH, THẦY CÔ - BẠN BÈ;4;4
NAM;PHIM ẢNH, ÂM NHẠC;CÔNG NGHỆ THÔNG TIN;NHU CẦU CAO CỦA THỊ TRƯỜNG ĐỐI VỚI NGÀNH HỌC (KHẢ NĂNG TÌM VIỆC LÀM CAO);TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;INTERNET, TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN;4;4
NAM;THỂ THAO, ÂM NHẠC;QUẢN LÝ TÀI NGUYÊN VÀ MÔI TRƯỜNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 8 -  DƯỚI 9;INTERNET, MẠNG XÃ HỘI;4;4
NAM;ĐỌC SÁNH, DU LỊCH;CÔNG NGHỆ THÔNG TIN;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;DU LỊCH, THỂ THAO;TOÁN ỨNG DỤNG;SỞ THÍCH;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 8 -  DƯỚI 9;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
NAM;PHIM ẢNH, ÂM NHẠC;Y KHOA;NGUYỆN VỌNG CỦA GIA ĐÌNH;TỪ 9 - 10;TỪ 8 -  DƯỚI 9;TỪ 9 - 10;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TỪ 6.5 -  DƯỚI 8;TÔI ĐẾN TẬN TRƯỜNG ĐH ĐỂ TÌM HIỂU THÔNG TIN, TÔI NHẬN ĐƯỢC THÔNG TIN TỪ CÁC ĐỢT TƯ VẤN TUYỂN SINH CỦA CÁC TRƯỜNG ĐH;4;4
